feature,mutual_info
Average Packet Size,0.5877439292841913
Packet Length Std,0.5591276543199859
Packet Length Variance,0.5577670511772945
Subflow Bwd Bytes,0.5084208736241931
Avg Bwd Segment Size,0.498419227249546
Subflow Fwd Bytes,0.4962569066301967
Init_Win_bytes_forward,0.49167999278667684
Init_Win_bytes_backward,0.4656073328940127
Fwd Packet Length Max,0.45103109719403855
Flow IAT Max,0.4391475283331032
Flow Duration,0.42194262550473094
Fwd Header Length,0.4175003669452122
Flow Bytes/s,0.41589931032861505
Fwd Packets/s,0.39801142307639603
Avg Fwd Segment Size,0.39553407799954643
Bwd Packets/s,0.3880083824895033
Fwd IAT Mean,0.38064367532644505
Flow IAT Mean,0.3786157092503917
Bwd Packet Length Std,0.3309889773639094
Flow IAT Std,0.3208221209507125
Fwd IAT Std,0.3007660886404724
Bwd IAT Max,0.2859471833172609
Bwd IAT Total,0.2670361560445049
Bwd IAT Mean,0.2551886021873506
Bwd Packet Length Min,0.2288458641111224
Fwd IAT Min,0.20507203999037915
Bwd IAT Std,0.20359133407795427
Active Mean,0.19646674509297823
Active Min,0.19448626403515834
Active Max,0.19265129044812812
Bwd IAT Min,0.19197279544710888
Min Packet Length,0.1826587847517087
Fwd Packet Length Min,0.1804186115622024
Flow IAT Min,0.17259195978298814
Protocol,0.10925732394842447
PSH Flag Count,0.09529100863453865
Down/Up Ratio,0.07677049100392108
ACK Flag Count,0.055508261659399594
Idle Std,0.03908583441028646
FIN Flag Count,0.03424309994407304
URG Flag Count,0.0229292544283759
Active Std,0.022040709980003292
Fwd PSH Flags,0.013742986927143708
RST Flag Count,0.0019149640664708478
Fwd URG Flags,0.0005132681560466867
